Player,Team,Type,M,Inn,B,Runs,Wkts,BBI,BBM,Econ,Avg,SR,5W,10W
Soumya Sarkar,Bangladesh,Test,15,11,442,288,3,Feb-68,Feb-68,3.91,96,147.33,0,0
Sabbir Rahman,Bangladesh,Test,11,7,144,98,0,0/9,0/9,4.08,0,0,0,0
Mahmudullah,Bangladesh,Test,49,65,3399,1949,43,May-51,8/110,3.44,45.33,79.05,1,0
Shakib Al Hasan,Bangladesh,Test,56,95,13020,6536,210,Jul-36,10/124,3.01,31.12,62,18,2
Mohammad Saifuddin,Bangladesh,Test,0,0,0,0,0,0,0,0,0,0,0,0
Mosaddek Hossain,Bangladesh,Test,3,5,90,49,0,0/1,0/4,3.27,0,0,0,0
Mehidy Hasan,Bangladesh,Test,22,37,5306,2981,90,Jul-58,12/117,3.37,33.12,58.96,7,2
Mushfiqur Rahim,Bangladesh,Test,70,0,0,0,0,0,0,0,0,0,0,0
Liton Das,Bangladesh,Test,20,0,0,0,0,0,0,0,0,0,0,0
Mohammad Mithun,Bangladesh,Test,9,0,0,0,0,0,0,0,0,0,0,0
Mashrafe Mortaza,Bangladesh,Test,36,51,5990,3239,78,Apr-60,May-88,3.24,41.53,76.79,0,0
Rubel Hossain,Bangladesh,Test,27,44,4223,2764,36,5/166,5/210,3.93,76.78,117.31,1,0
Mustafizur Rahman,Bangladesh,Test,13,21,1845,985,28,Apr-37,May-66,3.2,35.18,65.89,0,0
Abu Jayed,Bangladesh,Test,9,12,1394,779,24,Apr-71,Apr-59,3.35,32.46,58.08,0,0
Eoin Morgan,England,Test,16,0,0,0,0,0,0,0,0,0,0,0
Joe Root,England,Test,97,87,2732,1444,29,Apr-87,4/112,3.17,49.79,94.21,0,0
Jason Roy,England,Test,5,0,0,0,0,0,0,0,0,0,0,0
Liam Livingstone,England,Test,0,0,0,0,0,0,0,0,0,0,0,0
Dawid Malan,England,Test,15,5,156,70,0,0/7,0/7,2.69,0,0,0,0
Moeen Ali,England,Test,60,105,10972,6624,181,Jun-53,10/112,3.62,36.6,60.62,5,1
Ben Stokes,England,Test,67,111,9019,4963,158,Jun-22,8/161,3.3,31.41,57.08,4,0
Chris Woakes,England,Test,38,71,6512,3282,112,Jun-17,11/102,3.02,29.3,58.14,4,1
Tom Curran,England,Test,2,3,396,200,2,Jan-65,Jan-82,3.03,100,198,0,0
Lewis Gregory,England,Test,0,0,0,0,0,0,0,0,0,0,0,0
Sam Curran,England,Test,19,33,2434,1317,41,Apr-58,May-92,3.25,32.12,59.37,0,0
Jonny Bairstow,England,Test,70,0,0,0,0,0,0,0,0,0,0,0
Jos Buttler,England,Test,47,0,0,0,0,0,0,0,0,0,0,0
Sam Billings,England,Test,0,0,0,0,0,0,0,0,0,0,0,0
Adil Rashid,England,Test,19,34,3816,2390,60,May-49,7/178,3.76,39.83,63.6,2,0
Mark Wood,England,Test,16,31,2963,1618,50,May-41,9/100,3.28,32.36,59.26,2,0
